date,week_number,sku_id,sku_name,category,warehouse_id,warehouse_name,unit_price,lead_time_days,festival_flag,promo_flag,demand_units,available_stock_units,fulfilled_units,stockout_flag
2024-01-07,1,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1395,2254,1395,0
2024-01-14,2,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1674,3435,1674,0
2024-01-21,3,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,1,2085,4337,2085,0
2024-01-28,4,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1812,2252,1812,0
2024-02-04,5,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,1,1881,3016,1881,0
2024-02-11,6,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1517,3711,1517,0
2024-02-18,7,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1113,2194,1113,0
2024-02-25,8,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1808,3657,1808,0
2024-03-03,9,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1773,4425,1773,0
2024-03-10,10,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,2727,2652,2652,1
2024-03-17,11,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,2771,2576,2576,1
2024-03-24,12,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,3216,2576,2576,1
2024-03-31,13,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1905,2576,1905,0
2024-04-07,14,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2070,3247,2070,0
2024-04-14,15,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,1,2562,3753,2562,0
2024-04-21,16,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2463,3767,2463,0
2024-04-28,17,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1943,3880,1943,0
2024-05-05,18,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2174,1937,1937,1
2024-05-12,19,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,1,2697,2576,2576,1
2024-05-19,20,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2325,2576,2325,0
2024-05-26,21,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2966,2827,2827,1
2024-06-02,22,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2546,2576,2546,0
2024-06-09,23,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2288,2606,2288,0
2024-06-16,24,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2468,2894,2468,0
2024-06-23,25,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1964,3002,1964,0
2024-06-30,26,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1812,3614,1812,0
2024-07-07,27,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1599,4378,1599,0
2024-07-14,28,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1708,2779,1708,0
2024-07-21,29,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2045,3647,2045,0
2024-07-28,30,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2118,4178,2118,0
2024-08-04,31,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1625,2060,1625,0
2024-08-11,32,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1543,3011,1543,0
2024-08-18,33,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1368,4044,1368,0
2024-08-25,34,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,1,2366,2676,2366,0
2024-09-01,35,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1911,2886,1911,0
2024-09-08,36,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1495,3551,1495,0
2024-09-15,37,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1469,2056,1469,0
2024-09-22,38,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1664,3163,1664,0
2024-09-29,39,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1983,4075,1983,0
2024-10-06,40,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,3153,2092,2092,1
2024-10-13,41,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,2888,2576,2576,1
2024-10-20,42,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,3014,2576,2576,1
