sku_id,sku_name,warehouse_id,warehouse_name,avg_weekly_demand,weekly_demand_std,avg_lead_time_days,unit_price,avg_daily_demand,lead_time_weeks,safety_stock,lead_time_demand,reorder_point,annual_demand,annual_holding_cost_per_unit,eoq,current_stock,inventory_gap,reorder_flag,recommended_order_qty,risk_category
SKU01,Lager 650ml,WH01,North DC,2227.61,602.81,5.0,120.0,318.22939560439556,0.7142857142857143,840.63,1591.15,2431.77,115835.5,24.0,982.49,3518,1086.23,No Reorder,0.0,Excess Inventory
SKU01,Lager 650ml,WH02,West DC,2485.23,710.04,5.0,120.0,355.032967032967,0.7142857142857143,990.16,1775.16,2765.32,129232.0,24.0,1037.75,4522,1756.68,No Reorder,0.0,Excess Inventory
SKU01,Lager 650ml,WH03,South DC,1714.13,481.68,5.0,120.0,244.87637362637363,0.7142857142857143,671.7,1224.38,1896.08,89135.0,24.0,861.85,1522,-374.08,Reorder,862.0,Stockout Risk
SKU01,Lager 650ml,WH04,East DC,1412.92,389.9,5.0,120.0,201.84615384615384,0.7142857142857143,543.72,1009.23,1552.95,73472.0,24.0,782.47,2899,1346.05,No Reorder,0.0,Excess Inventory
SKU02,Lager 330ml,WH01,North DC,2234.43,595.05,5.0,70.0,319.20467032967036,0.7142857142857143,829.8,1596.02,2425.82,116190.5,14.0,1288.36,2705,279.18,No Reorder,0.0,Healthy
SKU02,Lager 330ml,WH02,West DC,2494.18,832.98,5.0,70.0,356.3118131868132,0.7142857142857143,1161.6,1781.56,2943.16,129697.5,14.0,1361.18,4349,1405.84,No Reorder,0.0,Excess Inventory
SKU02,Lager 330ml,WH03,South DC,1676.42,431.33,5.0,70.0,239.48901098901098,0.7142857142857143,601.49,1197.45,1798.93,87174.0,14.0,1115.95,3095,1296.07,No Reorder,0.0,Excess Inventory
SKU02,Lager 330ml,WH04,East DC,1441.06,375.09,5.0,70.0,205.8653846153846,0.7142857142857143,523.07,1029.33,1552.39,74935.0,14.0,1034.65,1857,304.61,No Reorder,0.0,Healthy
SKU03,Strong Beer 650ml,WH01,North DC,1228.07,331.43,6.0,140.0,175.4381868131868,0.8571428571428571,506.3,1052.63,1558.93,63859.5,28.0,675.38,1510,-48.93,Reorder,676.0,Stockout Risk
SKU03,Strong Beer 650ml,WH02,West DC,1434.8,433.78,6.0,140.0,204.97115384615384,0.8571428571428571,662.64,1229.83,1892.47,74609.5,28.0,730.02,1664,-228.47,Reorder,731.0,Stockout Risk
SKU03,Strong Beer 650ml,WH03,South DC,974.83,277.06,6.0,140.0,139.26098901098902,0.8571428571428571,423.23,835.57,1258.8,50691.0,28.0,601.73,869,-389.8,Reorder,602.0,Stockout Risk
SKU03,Strong Beer 650ml,WH04,East DC,824.2,243.7,6.0,140.0,117.74313186813187,0.8571428571428571,372.28,706.46,1078.74,42858.5,28.0,553.29,1283,204.26,No Reorder,0.0,Healthy
SKU04,Craft IPA 330ml,WH01,North DC,550.13,151.91,8.0,180.0,78.59065934065934,1.1428571428571428,267.96,628.73,896.69,28607.0,36.0,398.66,644,-252.69,Reorder,399.0,Stockout Risk
SKU04,Craft IPA 330ml,WH02,West DC,616.95,166.71,8.0,180.0,88.13598901098901,1.1428571428571428,294.07,705.09,999.16,32081.5,36.0,422.17,862,-137.16,Reorder,423.0,Stockout Risk
SKU04,Craft IPA 330ml,WH03,South DC,432.02,121.54,8.0,180.0,61.71703296703297,1.1428571428571428,214.39,493.74,708.13,22465.0,36.0,353.28,799,90.87,No Reorder,0.0,Healthy
SKU04,Craft IPA 330ml,WH04,East DC,358.31,96.6,8.0,180.0,51.18681318681319,1.1428571428571428,170.4,409.49,579.89,18632.0,36.0,321.73,709,129.11,No Reorder,0.0,Healthy
