Metric,Value
Baseline MAE,333.13486842105266
Random Forest MAE,219.14507402983372
XGBoost MAE,230.5441268452427
Baseline RMSE,538.0474761792002
Random Forest RMSE,365.6326325685676
XGBoost RMSE,390.050492356693
MAE Improvement vs Baseline,34.21731112431799
RMSE Improvement vs Baseline,32.044540908358194
Forecast Accuracy,83.17958853421617
Underprediction Rate,57.45614035087719
Average Percentage Error,16.820411465783828
High-Demand Observations,141.0
High-Demand MAE,596.9624656996373
