feature,importance
festival_flag,0.2029419119446649
available_stock_units,0.1407265291925814
week_of_year,0.11105113545156589
week_number,0.07623524232314745
month,0.06670859401019003
demand_lag_1,0.057774008216789394
rolling_demand_4w,0.05695254775827165
demand_std_4w,0.05687358440936116
demand_lag_4,0.05558953775648207
demand_lag_2,0.05426757414527447
quarter,0.04199000121849884
promo_flag,0.03803330844600028
unit_price,0.021892062272812738
lead_time_days,0.013007802163955848
year,0.005956160690403935
